"schema_nm","table_nm","obj_typ","ord_pos","keys","column_nm","data_typ","nullable","description"
"xamdit_server","activity_log","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","activity_log","TBL","002"," ","description","nvarchar(-1)","NOT NULL",
"xamdit_server","activity_log","TBL","003"," ","date","datetime2(7)","NOT NULL",
"xamdit_server","activity_log","TBL","004","FK","staff_id","int(10)","NULL",
"xamdit_server","announcements","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","announcements","TBL","002"," ","name","nvarchar(191)","NOT NULL",
"xamdit_server","announcements","TBL","003"," ","message","nvarchar(-1)","NULL",
"xamdit_server","announcements","TBL","004"," ","show_to_users","real(24)","NOT NULL",
"xamdit_server","announcements","TBL","005"," ","show_to_staff","real(24)","NOT NULL",
"xamdit_server","announcements","TBL","006"," ","show_name","int(10)","NOT NULL",
"xamdit_server","announcements","TBL","007"," ","date_added","datetime2(7)","NOT NULL",
"xamdit_server","announcements","TBL","008"," ","user_id","nvarchar(100)","NOT NULL",
"xamdit_server","clients","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","clients","TBL","002"," ","company","nvarchar(191)","NULL",
"xamdit_server","clients","TBL","003"," ","vat","nvarchar(50)","NULL",
"xamdit_server","clients","TBL","004"," ","phonenumber","nvarchar(30)","NULL",
"xamdit_server","clients","TBL","005"," ","country","int(10)","NOT NULL",
"xamdit_server","clients","TBL","006"," ","city","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","007"," ","zip","nvarchar(15)","NULL",
"xamdit_server","clients","TBL","008"," ","state","nvarchar(50)","NULL",
"xamdit_server","clients","TBL","009"," ","address","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","010"," ","website","nvarchar(150)","NULL",
"xamdit_server","clients","TBL","011"," ","date_created","datetime2(7)","NOT NULL",
"xamdit_server","clients","TBL","012"," ","active","int(10)","NOT NULL",
"xamdit_server","clients","TBL","013"," ","lead_id","int(10)","NULL",
"xamdit_server","clients","TBL","014"," ","billing_street","nvarchar(200)","NULL",
"xamdit_server","clients","TBL","015"," ","billing_city","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","016"," ","billing_state","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","017"," ","billing_zip","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","018"," ","billing_country","int(10)","NULL",
"xamdit_server","clients","TBL","019"," ","shipping_street","nvarchar(200)","NULL",
"xamdit_server","clients","TBL","020"," ","shipping_city","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","021"," ","shipping_state","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","022"," ","shipping_zip","nvarchar(100)","NULL",
"xamdit_server","clients","TBL","023"," ","shipping_country","int(10)","NULL",
"xamdit_server","clients","TBL","024"," ","longitude","nvarchar(191)","NULL",
"xamdit_server","clients","TBL","025"," ","latitude","nvarchar(191)","NULL",
"xamdit_server","clients","TBL","026"," ","default_language","nvarchar(40)","NULL",
"xamdit_server","clients","TBL","027"," ","default_currency","int(10)","NOT NULL",
"xamdit_server","clients","TBL","028"," ","show_primary_contact","int(10)","NOT NULL",
"xamdit_server","clients","TBL","029"," ","stripe_id","nvarchar(40)","NULL",
"xamdit_server","clients","TBL","030"," ","registration_confirmed","int(10)","NOT NULL",
"xamdit_server","clients","TBL","031"," ","added_from","int(10)","NOT NULL",
"xamdit_server","consent_purposes","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","consent_purposes","TBL","002"," ","name","nvarchar(100)","NOT NULL",
"xamdit_server","consent_purposes","TBL","003"," ","description","nvarchar(-1)","NULL",
"xamdit_server","consent_purposes","TBL","004"," ","date_created","datetime2(7)","NOT NULL",
"xamdit_server","consent_purposes","TBL","005"," ","last_updated","datetime2(7)","NULL",
"xamdit_server","consents","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","consents","TBL","002"," ","action","nvarchar(10)","NOT NULL",
"xamdit_server","consents","TBL","003"," ","date","datetime2(7)","NOT NULL",
"xamdit_server","consents","TBL","004"," ","ip","nvarchar(40)","NOT NULL",
"xamdit_server","consents","TBL","005","FK","contact_id","int(10)","NOT NULL",
"xamdit_server","consents","TBL","006","FK","lead_id","int(10)","NOT NULL",
"xamdit_server","consents","TBL","007"," ","description","nvarchar(-1)","NULL",
"xamdit_server","consents","TBL","008"," ","opt_in_purpose_description","nvarchar(-1)","NULL",
"xamdit_server","consents","TBL","009"," ","purpose_id","int(10)","NOT NULL",
"xamdit_server","consents","TBL","010"," ","staff_name","nvarchar(100)","NULL",
"xamdit_server","contact_permissions","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","contact_permissions","TBL","002"," ","permission_id","int(10)","NOT NULL",
"xamdit_server","contact_permissions","TBL","003"," ","user_id","int(10)","NOT NULL",
"xamdit_server","contacts","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","contacts","TBL","002"," ","user_id","int(10)","NOT NULL",
"xamdit_server","contacts","TBL","003"," ","is_primary","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","004"," ","firstname","nvarchar(191)","NOT NULL",
"xamdit_server","contacts","TBL","005"," ","lastname","nvarchar(191)","NOT NULL",
"xamdit_server","contacts","TBL","006"," ","email","nvarchar(100)","NOT NULL",
"xamdit_server","contacts","TBL","007"," ","phonenumber","nvarchar(100)","NOT NULL",
"xamdit_server","contacts","TBL","008"," ","title","nvarchar(100)","NULL",
"xamdit_server","contacts","TBL","009"," ","date_created","datetime2(7)","NOT NULL",
"xamdit_server","contacts","TBL","010"," ","password","nvarchar(255)","NULL",
"xamdit_server","contacts","TBL","011"," ","new_pass_key","nvarchar(32)","NULL",
"xamdit_server","contacts","TBL","012"," ","new_pass_key_requested","datetime2(7)","NULL",
"xamdit_server","contacts","TBL","013"," ","email_verified_at","datetime2(7)","NULL",
"xamdit_server","contacts","TBL","014"," ","email_verification_key","nvarchar(32)","NULL",
"xamdit_server","contacts","TBL","015"," ","email_verification_sent_at","datetime2(7)","NULL",
"xamdit_server","contacts","TBL","016"," ","last_ip","nvarchar(40)","NULL",
"xamdit_server","contacts","TBL","017"," ","last_login","datetime2(7)","NULL",
"xamdit_server","contacts","TBL","018"," ","last_password_change","datetime2(7)","NULL",
"xamdit_server","contacts","TBL","019"," ","active","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","020"," ","profile_image","nvarchar(191)","NULL",
"xamdit_server","contacts","TBL","021"," ","direction","nvarchar(3)","NULL",
"xamdit_server","contacts","TBL","022"," ","invoice_emails","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","023"," ","estimate_emails","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","024"," ","credit_note_emails","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","025"," ","contract_emails","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","026"," ","task_emails","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","027"," ","project_emails","real(24)","NOT NULL",
"xamdit_server","contacts","TBL","028"," ","ticket_emails","real(24)","NOT NULL",
"xamdit_server","contract_comments","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","contract_comments","TBL","002"," ","content","nvarchar(-1)","NULL",
"xamdit_server","contract_comments","TBL","003","FK","contract_id","int(10)","NOT NULL",
"xamdit_server","contract_comments","TBL","004","FK","staff_id","int(10)","NOT NULL",
"xamdit_server","contract_comments","TBL","005"," ","date_added","datetime2(7)","NOT NULL",
"xamdit_server","contract_renewals","TBL","001","PK","id","int(10)","NOT NULL",
"xamdit_server","contract_renewals","TBL","002","FK","contract_id","int(10)","NOT NULL",
"xamdit_server","contract_renewals","TBL","003"," ","old_start_date","datetime2(7)","NOT NULL",
"xamdit_server","contract_renewals","TBL","004"," ","new_start_date","datetime2(7)","NOT NULL",
"xamdit_server","contract_renewals","TBL","005"," ","old_end_date","datetime2(7)","NULL",
